text,summary,sentence_count,word_count,char_count,sentence_density,word_density,punctuation_count,stopword_count,article_word_count,summary_word_count,article_sentence_count,summary_sentence_count,article_char_count,summary_char_count,t5_summary
"cnn  the marine corps has dropped charges against the commander of the marine company involved in the 2005 killings of iraqi civilians in haditha, iraq. camp pendletons commanding officer ordered charges dropped against capt. lucas mcconnell. capt. lucas mcconnell, who had been charged with dereliction of duty, was also granted immunity to ensure he cooperates with the investigation, the service said tuesday. mcconnell was one of four officers charged with failing to properly investigate and report the civilian deaths. lt. gen. james mattis, the marine commander in charge of the corps units in the middle east, ordered the charges dismissed last week. lt. gen. mattis determined that administrative measures are the appropriate response for any errors or omissions allegedly committed by mcconnell, according to a statement from the marine corps base at camp pendleton in california. four marines from mcconnells unit were charged with murder in connection with the deaths of up to two dozen civilians in haditha in november 2005. charges have been dropped against two of them  one in exchange for his testimony and the other after a hearing officer decided he acted in accord with the rules of engagement. two other officers  lt. col. jeffrey chessani, the battalion commander, and 1st lt. andrew grayson  also face charges related to their response to the killings. haditha, located along the euphrates river northwest of baghdad, was the target of several marine campaigns aimed at rooting out insurgents from 2004 through 2006. prosecutors accused the marines of going on a rampage after a roadside bomb killed one of their comrades, 20yearold lance cpl. miguel terrazas, on november 19, 2005. a statement from the marine corps originally blamed the deaths on the roadside bomb, triggering a parallel investigation into how commanders handled the incident. email to a friend .","capt. lucas mcconnell was accused of poor investigating, reporting of deaths . two other officers face charges related to their response to the killings . incident killed up to two dozen civilians in haditha, iraq, in november 2005 .",13,325,1586,0.04,4.88,38,114,325,43,13,4,1586,195,capt. lucas mcconnell was charged with dereliction of duty. mcconnell was one of four officers charged with failing to properly investigate and report civilian deaths.
"monica van de pitte has won undisclosed damages after settling a discrimination and harassment case with her former employer . a motheroftwo who was mooed at while pumping breast milk at work has won undisclosed damages after settling a discrimination and harassment case with her former employer in oregon. monica van de pitte also alleges that she found a picture of a cow taped to the door of the supply roomat velocitel, a lake oswegobased wireless network company,that she and other mothers were told to use for pumping while at work. van de pitte said the harassment was so hurtful that she struggled to compose herself enough to express any milk once inside the room, according to her complaint. on joining the company in 2012, van de pitte had explained to bosses that she was still nursing her oneyearold son, and would need a private space where she could pump during the work day, reportspeoplemagazine. on her first day of work,another nursing mother warned her to keep her breast pump hidden because other employees thought it was gross. van de pitte also alleged that some of her colleagues openly bragged about their sex lives. her complaint states that one colleague was nicknamed the walking hr violation because of his harassing conduct. on joining velocitel, a lake oswegobased wireless network company, van de pitte told bosses that she was still nursing her oneyearold son, and would need a private space where she could pump during the work day . the oregon momoftwo alleges that she found a picture of a cow taped to the door of a supply room that she was told to use to pump privately . he was accused of regularly demeaning women, including van de pitte, by pretending to honk their breasts. when van de pitte approached the man and asked him to stop his demeaning behavior  he just snickered at her concerns. after another month, van de pitte said she complained to bosses about the mans behavior and was told that she needed to privately reflect on why sexual conversations made her uncomfortable. van de pitte quit her job at velocitel in 2013 and filed a formal complaint with oregons bureau of labor and industries. a settlement was recently reached, but the amount of compensation was not disclosed. momoftwo van de pitte quit her job at velocitel in 2013 and filed a formal complaint with oregons bureau of labor and industries .","monica van de pittehas won undisclosed damages after settling a discrimination and harassment case with her former employer . on joining velocitel, she told bosses that she was still nursing her oneyearold son and would need a private space to pump . the oregon momoftwoalleged that she found a picture of a cow taped to the door of a supply room she was told to use . she accused one colleague of regularly demeaning women, including her, by pretending to honk their breasts .",16,434,1955,0.03686635944700461,4.5046082949308754,30,170,434,87,16,4,1955,394,"monica van de pitte alleges that she found a picture of a cow taped to the door of a supply roomat velocitel, a lake oswego-based wireless network company. van de pitte said the harassment was so hurtful that she struggled to compose herself enough to express any milk once inside the room. on joining the company in 2012, van de pitte explained to bosses that she was still nursing her oneyearold son, and would need"
"cnn  a tennis players biggest challenge usually comes from the opposite baseline, but alisa kleybanova has taken on an opponent of an entirely different nature over the last 10 months. the former world no. 20 announced in july 2011 she had been diagnosed with hodgkins lymphoma, a form of cancer, after missing both the french open and wimbledon. the 22yearold russian made a successful return to the court at the miami masters on tuesday after battling to overcome the disease. it was a fairytale return for kleybanova, who was handed a wildcard for the u.s. hardcourt tournament, as she came from behind to record a 26 63 62 firstround win against 64thranked swede johanna larsson.. venus williams vows to rise again . the first match back from anything is always difficult, but especially this time i really had no idea how it was going to be out there, kleybanova told the wtas official website. tenniswise i felt pretty good from the beginning but johanna has a difficult game to play against, she makes you run a lot out there  she makes you tired even if youre in your best shape. kleybanova, who will face 20thseeded compatriot maria kirilenko next, said fighting the illness has given her a different perspective on the sport. im looking at my matches differently now, she said. its my work, but i really just wanted to enjoy every point and every moment. even when i lost the first set i wanted to stay positive and just enjoy myself out there, and thats why i was able to stay out there and change the way the match was going. its not just about the win though, its that im back on court. if i didnt win, its not like i would have been mad. i was just happy to be playing points, feeling all the emotions again... its something i missed a lot and it was all out there today. it was also a memorable occasion for kleybanovas coach julian vespan, who she described as her best friend. of course hes very, very happy i won, but hes also my best friend and he feels happy when i feel good and when im smiling. he just wants me to be happy. when he saw me enjoying myself again he was very happy for me.",alisa kleybanova wins on her return to tennis at the miami masters . the russian had been out for 10 months battling hodgkins lymphoma . the 22yearold battles to a threeset victory over swedens world no. 64 johanna larsson . kleybanova has won two wta titles during her nine years on the circuit .,18,425,1721,0.042352941176470586,4.049411764705883,44,193,425,55,18,5,1721,244,alisa kleybanova has been diagnosed with hodgkins lymphoma. the russian made a successful return to the court on tuesday. kleybanova beat johanna larsson 26 63 62 in the first round.
"by . steph cockroft . they are ferocious predators, armed with razorsharp teeth, who lurk in the depths of the worlds largest oceans. so unsuspecting rowers were more than a little shocked when they spotted a sharks fin  in a north london park. the rowers were at a private event on the boating lake in finsbury park, when they saw the great white sharks fin poking above the surface of the water. scroll down for video . boaters were happily enjoying themselves at a private rowing on the boating lake in finsbury park, north london, when they spotted something rather unusual in the water . as the boaters relaxed in the north london park, a fin belonging to a great white shark suddenly appeared above the surface of the water . one of the guests pointed in disbelief and shouted to his friend as he saw the shark fin move across the water . the creature came uncomfortably close to the rowers boats, causing a sudden outbreak of panic on the usuallycalm lake. one of the rowers shouted look at that as he cowered away from the ominous fin. one of the girls screamed so loudly that the boat nearly toppled over. but, luckily for the rowers, the shark fin was all part of a prank to celebrate shark week on discovery channel, which starts today. the stunt was set up using a handcarved polystyrene fin mounted onto a 3m tubular frame, with internal ballast and flotation devices. one of two girls was relaxing on the lake, seemingly unaware the shark fin was coming uncomfortably close to their boat  but her rowing partner suddenly spotted the fin out of the corner of her eye . when the girl finally turned and spotted the ominous fin gliding towards out, she let out a petrified scream . one girl was so frightened when she saw the fin, pictured left, that she almost toppled out of the boat in disbelief. but the girl was soon laughing when she realised the fin  made from polystyrene  was not real, right . these two men cowered away from the water in fear as the fin raced towards their rowing boat . but the men soon peered closer in curiosity once they realised the fin was probably not real . a macabre rowing boat  . with a huge bite taken out of it  was also planted at the scene to add to the eery atmosphere. the prop was created by bafta awardwinning art director and special effects designer jamie campbell. shark week, which runs all week, will feature dozens of programmes about the ocean predators. once the rowers realised the makeshift fin was part of a prank, they relaxed and carried on boating . one of the girls laughed as she spotted the writing on the side of the fin, which revealed the prank was to promote shark week on the discovery channel . the promotion on the side of the fin reassured boaters that a great white shark was not lurking in the lake . some of the programmes include airjaws finding colossus, in which shark experts chris fallows and jeff kurr visit the legendary seal island in south africa in search of great whites. there is also mythbuster jawsome  which counts down the 25th biggest shark myths of all time  and sharkpocalypse, which explores the trend of sharks moving closer to shorelines. the lineup also features megalodon, which explore the myth around the massive prehistoric shark.","boaters were rowing on lake during private event in finsbury park, london . they suddenly spotted the fin of a great white shark poking through water . luckily, the polystyrene fin was part of prank to promote shark week .",30,619,2654,0.048465266558966075,4.2875605815831985,53,248,619,42,30,3,2654,183,"boaters were at private event on boating lake in finsbury park, north london. they saw great white sharks fin poking above the surface of the water. one of the rowers shouted look at that as he cowered away from the fin. but the shark fin was all part of a prank to celebrate shark week on discovery channel."
"by . ruth styles . whether its stress or having a blazing row with your partner, the triggers that lead to comfort eating are myriad  and can cause you to pile on the pounds. now a psychologist and diet expert claims to have uncovered the emotional triggers that lead to comfort eating and what you can do to avoid them. dr jane mccartney says identifying the stresses that send you into a frenzy of comfort eating need to be identified before you can lose weight but adds that once you do, shifting excess pounds becomes easy. comfort food emotional triggers such as rows can lead to comfort eating  and piling on the pounds . weighty problem dr jane mccarthy says emotional eating is one of the chief causes of weight gain . first you need to identify that youre overeating whether thats with crisps, doughnuts, cake or whatever, she explains in an exclusive interview with mailonline. it could be something in the here and now  for instance, you might not be getting on with a colleague or you might have financial issues  or it could be something more long term such as having a feud with your neighbour or falling out with your parents. whether its a bad neighbour or a row with your other half, according to dr mccartney, its essential that you recognise when youre comfort eating rather than tucking in because youre genuinely hungry. you need to ask yourself am i eating because im hungry?, says dr mccartney. if youre not, then you need to find some motivation to do something about it. but if you genuinely are hungry then eat. britains burgeoning obesity crisis  the most recent figures show that 70 per cent of british people are overweight or obese  has been blamed on everything from sedentary lifestyles to sugary snacks. but thats not the whole story, says dr mccartney, who says that emotional reasons contribute a significant amount to britains bulging waistline. people are overweight for emotional reasons, reveals dr mccartney. its a huge problem and its not always recognised. people understand comfort eating like indulging in a bar of chocolate to get away from whats going on in your life at that moment. its a vicious cycle, and you need to get out of it. so what do you do when oscillating emotions send you reaching for the biscuits? dr mccartneys solution is what she describes as a 10minute selfintervention. flashpoints living with an unpleasant neighbour or rows with a partner are both common triggers . solution dr mccartney suggests giving yourself 10 minutes to reconsider before eating . if . youre in a coffee shop and you fancy a chocolate biscuit, wait 10 minutes before coming back to it to see if you still want it, she suggests. nine times out . of 10 you wont. if you ride the wave of anxiety, you will feel so much . better for not eating. but its not just about identifying your trigger points and stopping. dr mccartney, who is behind new book stop overeating the 28day plan to end emotional eating for good, says combining willpower with healthy eating is essential if you want to shift the pounds. im not saying that we shouldnt have . nice to things like crisps and chocolate to eat but everything in . moderation, she adds. these things are probably not the sort of thing you . should eat on a diet but i do think its a good idea to make an agreement with . yourself when you start the diet that you can always come back to these . foods when you come off the diet and its not forever. regardless of what you put in your mouth, key to losing weight is breaking the link between emotions and food, and slowing yourself down at mealtimes. if you eat . slowly you are conscious of what youre eating, explains dr mccartney. it can actually take . 10 to 20 minutes for your brain to give the signal that youre full, which means little tricks such as keeping a glass of water next to your . plate can really help. another . exercise i get people to do is to acknowledge the length of time . between having something in their mouths. we are constantly grazing . nowadays and we barely go 20 minutes without something going in our . mouth and its not always the good stuff. and to deal with the temptation to use food as a reward for completing a task? it . is great to reward yourself but just not necessarily with food, explains the psychologist. i . always recommend buying something else like a plant or a brooch, and it . doesnt have to be expensive. i knew a woman who would take herself down . to a charity shop and pick up a brooch for 20p and it would be so much . better because it represents her and its much longer lasting. stop overeating the 28day plan to end emotional eating for good by dr jane mccartney, 10.99, is published by vermillion . once youve worked out what your emotional triggers are, the next step is to start slimming down with a healthy diet. although snacking isnt banned, dr mccartney says making sure its healthy is key. there is nothing wrong with a tv snack so long as it is a healthy one one being the optimum word there, she writes, . one really good tip is to make the snack take as long as possible to eat, celery with a cottage cheese dip for example or half a dozen nuts in their shells. this is not just about the calories, it is about the time taken to eat. to satisfy your established grazing habits you almost have to trick yourself into believing that you are eating all the time, until you get into the habit of not doing so. heres what to eat for the first few days . day one . breakfast porridge made with 40 g  oz oats and water with cinnamon and a handful of raisins . lunch one crusty roll with one poached egg and one grilled sliced tomato . dinner tagliolini with almond pesto followed by spiced orange sorbet . day two . breakfast one toasted plain bagel filled with one tablespoon of soft cheese . lunch carrot and coriander soup with homemade croutons . dinner mushroom and thyme risotto followed by onequarter of a small shopbought flan casefilled with fruit, served with one tablespoon of single cream . day three . breakfast two slices of medium wholemeal bread filled with one grilled vegetarian sausage, sliced into four strips, one grilled sliced tomato . lunch one jacket potato no butter with two tablespoon of tuna canned in water or brine, drained and chopped cucumber . dinner fish and rustic chunky chips followed by bought meringue nest, one tablespoon fromagefras with grated dark chocolate topping .",dr jane mccartney says emotional eating is a major cause of weight gain . suggests tricks to help overcome the urge to eat when youre not hungry . suggests a 10minute selfintervention to help beat comfort eating . says its easier to shift the pounds once you know your emotional triggers .,79,1240,5249,0.06370967741935483,4.233064516129033,121,507,1240,52,79,4,5249,238,dr jane mccartney says emotional triggers can lead to comfort eating. says you need to identify the stresses that send you into a frenzy of comfort eating. dr mccarthy says emotional eating is one of the chief causes of weight gain.
"cnnten dollars  thats all that rwandan science teacher cephas nshimyumuremyi had to start his business with two years ago. it may sound less than promising, but nshimyumuremyi made that initial initial investment go a long way. today, his company uburanga products, which makes herbal jelly and soap from local medicinal plants, is worth 30,000 and employs 12 workers. the 10 helped me to purchase the empty bottle in order to put my product on the market, says nshimyumuremyi, winner of the educat  gt bank entrepreneurship award 2014, a local business prize. his idea for natural cosmetics with healing properties came from trying to teach his students how the science they were learning in class could be applied in practical ways i teach chemistry so i showed my students how you can test a plant, and know the capacity of that plant to kill bacteria, says the young entrepreneur, who launched his company in a bid to supplement his income from teaching . nshimyumuremyi also wanted to use the local medicinal plants, used by some traditional healers, in a scientific way. he says his future goal is to provide the solution for some skin diseases in africa. start with little, use your knowledge herbs used in nshimyumuremyis remedies are grown in a botanical garden, then dried and mixed to create either soap or jelly. the products made by uburanga help the skin to be smooth and they protect from bacteria which can cause skin disease, says the entrepreneur. like with many new businesses, the greatest challenge nshimyumuremyi had to overcome was getting the word about his product out to a wider audience, without having money to advertise. another was the high cost of containers in which his products are sold, which he had to import in our country there is no industry producing such kind of bottles and cartons, so we purchase them from kampala uganda, nshimyumuremyi says. his message to fellow wouldbe entrepreneurs thinking of starting a business is encouraging dont think that you need a lot of capital, he says. start with little, but use the knowledge and the environment that you already have. check out the video below to find out more about nshimyumuremyis efforts to grow his cosmetics company. read this got an idea? theres 100 million available... read this catch a ride on a bamboo bike . more african startup .",science teacher cephas nshimyumuremyi started his skincare company with just 10 . he produces herbal soaps and jellies made of local medicinal plants . the entrepreneur says you dont need a lot of capital to start a business .,17,432,1941,0.03935185185185185,4.493055555555555,43,168,432,39,17,3,1941,188,"rwandan science teacher cephas nshimyumuremyi launched his company uburanga products. the company is worth 30,000 and employs 12 workers. nshimyumuremyi wanted to use the local medicinal plants in a scientific way."
"paris, france cnn  thousands of travelers in france were stranded after lightning shut down a main train station on saturday, the first day of the summer holiday for students. lightening struck an electrical facility in bretignysurorge, on the outskirts of paris, forcing the closure of the austerlitz station and affecting 40,000 travelers, a french national railway official told cnn. however, traffic at austerlitz station had resumed as of 6 p.m. noon et, cnn affiliate bfm reported, citing officials with railway agency. electronic repairs on the railway had been completed by the evening, and traffic was expected to run smoothly by sunday. earlier, railway officials had warned of delays and encouraged passengers to postpone their trips. passengers who were unable to take trains saturday will be issued refunds, bfm reported. the station is used by trains leaving for southern france and spain as well as commuter service to other parts of paris.","new report traffic at austerlitz station resumes . lightning strikes electrical facility in bretignysurorge, outside paris . forces closure of austerlitz station in capital . the station is used by trains leaving for southern france and spain .",7,169,804,0.04142011834319527,4.757396449704142,21,56,169,39,7,4,804,207,"lightening struck an electrical facility in bretignysurorge, france. traffic at austerlitz station resumed as of 6 p.m. noon et, cnn affiliate reports."
"cnn  how could they not have known they were asking for trouble? in the past few years, rep. mark souder of indiana had an affair with the staff member who had helped him produce a video promoting sexual abstinence. south carolina gov. mark sanford flew to argentina for an extramarital tryst, instructing his staff to tell the press he was hiking the appalachian trail. sen. john edwards tried to pass off the daughter he fathered as the love child of one of his aides. and now a stockpile of sexy emails has simultaneously brought down the head of the cia and delayed the nomination of the top u.s. commander in afghanistan to head nato. many americans believe these scandals reflect a precipitous decline in respect for marital fidelity. if anything, however, such respect has never been higher. in a 2006 poll by the pew research center, 88 of americans said adultery was immoral  a higher number than for any other of 10 unsavory behaviors they were asked about. according to a 2009 gallup poll, only 6 of americans believe extramarital sex is morally acceptable. tolerance for male adultery is certainly at a new low. in letters and diaries written during the colonial and revolutionary eras, men routinely bragged about their extramarital conquests  even to the brothers and fathers of their own wives! in the 1850s, it is estimated that new york city had one prostitute for every 64 men, while the mayors of savannah, georgia, and norfolk, virginia, put the numbers of prostitutes in their cities at one for every 39 and 26 men, respectively. as late as 1930, somserset maughams play, the constant wife, was considered shocking because the heroine confronted her husband about his affair instead of simply ignoring it, as most women in polite circles did. opinion ok to flirt your way to the top? president thomas jefferson fathered a child by his mistress. so did warren g. harding, who also carried on an affair with the wife of a family friend. gen. dwight eisenhower had a longterm relationship with the woman who was his driver in england during world war ii. cia director allen dulles, according to his own sister, had at least a hundred affairs, including one with the queen of greece. president john f. kennedys affairs and onenight stands may have numbered even more. but times have changed. the press and political insiders no longer turn a blind eye. so why do men continue in behaviors that now carry so much risk of exposure and punishment? part of it is probably a sense of entitlement. powerful men have people to take care of the mundane details of life. they are briefed on the names and backgrounds of whomever they meet, told when its time to leave, and extricated from awkward encounters. someone else keeps track of appointments, money and time, fetches whatever they have forgotten at home, makes excuses when they change plans, and picks up after them when they leave a room. no wonder they get careless about picking up after their indiscretions as well. but why do equally powerful women so seldom engage in such risky affairs? some believe that the very qualities that make men successful also make them vulnerable. powerful men are rewarded for being risk takers, a political consultant once told me, whereas women feel more need to control their emotions and impulses if they are to succeed. there is some truth to this. but i think the answer is more complex, and in some ways sadder. after all, these men dont necessarily take such risks in other areas where emotions run strong. political leaders calibrate their positions, moral convictions and emotional impulses with a degree of calculation that would put machiavelli to shame. many even shove aside their most deeply held beliefs at the faintest hint that these might expose them to risk. as someone who has studied the evolution of love, sexuality, and marriage over the centuries, i believe the frequency of these sexual scandals reflects the fact that many men and women have still not fully incorporated into their daily emotional lives the new ideals about gender equity and mutuality that have emerged in the past 40 years. opinion media, stop stoking petraeus sex saga . today many  perhaps most  men sincerely want to marry women who are partners rather than subordinates. and women now want careers of their own, whether paid or unpaid, rather than defining themselves entirely through a husbands achievements. yet many of our romantic fantasies and cues for sexual arousal are still shaped by the unequal division of roles, power, resources and prescribed character traits that prevailed from the early 19th century up through the 1960s. before industrialization moved production outside the household unit, husbands and wives were partners in homebased production, equally responsible for provisioning the household and dealing with the details of daily life. but the experiences and emotions of men and women diverged as men began to earn money outside the home while women concentrated on meeting family needs. gradually, women came to see success, prosperity and status as only attainable through the achievements of men, while men became accustomed to receiving love and admiration for possessing skills, resources, and knowledge to which women did not have access. women began to equate admiration with attraction men began to equate being looked up to with being sexually potent. for 150 years, romance novels and the mass media have reinforced this confusion. opinion lessons from petraeus sex scandal . i think this pattern helps explain why so few women are tempted by the adoration of younger acolytes but often fall for superiors or mentors, while many otherwise happily married men become so intoxicated by admiration that they risk their careers and families for its temporary rush. president bill clinton couldnt resist the heroworship of a white house intern. thenhouse speaker newt gingrich carried on an affair with an admiring female aide while trying to impeach clinton for lying about a similar indiscretion. presidential candidate john edwards fell for the woman who followed him around with an adoring camera as well as an adoring gaze. rep. anthony wiener apparently thought any woman who admired his political views would be turned on by an unsolicited picture of his crotch. and like his cia predecessor allen dulles, whose affair with journalist mary bancroft was based on the excitement of what she described as her overwhelming admiration, david petraeus bonded with his own worshipful biographer. some of the men involved in these scandals are clearly pigs. some of the women are opportunists. but most are otherwise decent people who have not yet been able to adjust 200 years of conditioned sexual responses to our evolving emotional and intellectual preferences. the challenge facing modern couples  not just the men and women in these scandals  is to root out our old psychological habits and incorporate our new expectations of love and marriage into our deepest emotional core. we will know we have made progress when equality and friendship become more sexy than adoration and uncertainty. the opinions expressed in this commentary are solely those of stephanie coontz.","stephanie coontz male politicians repeatedly step into illicit sex situations. why? she says at one time they were encouraged. now infidelity scorned, but old habits persist . she says in an unequal history, men learned to expect adoration women to admire mens power . coontz retro pattern persists, draws men to young adoring women, women to older men .",59,1299,6013,0.04541955350269438,4.628945342571209,119,513,1299,66,59,6,6013,296,"rep. mark souder of indiana had an affair with a staff member who helped him produce a video promoting sexual abstinence. david frum: 88 of americans said adultery was immoral a higher number than for any other of 10 unsavory behaviors they were asked about. frum: if anything, such respect has never been higher, such respect has never been higher."
"experts have had a good old chuckle at false reports of a 1500 yearold lost city near one of australias biggest tourist attractions uluru. the supposed ancient human civilisation was said to have been discovered by australian national university archaeologists on satellite pictures using a newly developed groundpenetrating radar back in october 2013. many centralians had believed the lost city was a legitimate discovery before an anu spokesman exposed the hoax that had been published on a satirical website. experts have laughed off false reports of a 1500 yearold lost city near uluru pictured the first we knew about it was when we read about it, the spokesman told nt news. i contacted our onsite archeology unit straight away and we all had a good laugh. it was on a satirical website and is definitely untrue. the world news daily report website reported that a team of anu archaeologists, who were heading to an excavation near the sandstone red rock formation of uluru, when they unearthed the ruins of a large precolonial city dating back to more than 1500 years ago. the important number of tombs and artefacts already discovered on the site suggests that it could have been the capital of an ancient empire, completely unknown to historians until now, the site stated. over the last few months, many structures have been unearthed including what looks like a royal palace, a few temples, large rainwater reservoirs, workshops and dozens of houses. the site even quoted a professor walter reese who apparently suggests that the city was occupied between 20,000 and 30,000 inhabitants for 400 to 500 years, from approximately 47080 ad, up until the 9th century making it the most important centre of civilization in the southern pacific at the time. however, the news and political satire web publication carries a disclaimer of reporting presumably fake news which may or may not use real names, often in semireal or mostly fictitious ways. this image of a lost city was included in the hoax article of a supposed ancient civilisation near uluru .",a satirical website reported a 1500 yearold lost city near uluru . discovery said to be made by australian national university archaeologists . but anu spokesman said it was untrue and they had a good laugh,11,366,1719,0.030054644808743168,4.69672131147541,27,139,366,36,11,3,1719,171,the supposed ancient human civilisation was said to have been discovered by australian national university archaeologists on satellite pictures using a newly developed groundpenetrating radar back in october 2013. many centralians had believed the lost city was a legitimate discovery before an anu spokesman exposed the hoax that had been published on a satirical website. experts have laughed off false reports of a 1500 year old lost city near uluru.
"a young british footballer has died after collapsing in his college apartment in the united states from a suspected heart attack. peter mcavoy, 22, a student at herkimer college in new york state who was americas reigning junior college player of the year, died on saturday evening. he was pronounced dead in hospital despite attempts by campus safety officers and medics to revive him. his father said the former craigiebarns . primary and craigie high school pupil just keeled over without . warning while sitting on his settee. tragedy british footballer peter mcavoy pictured has died at the age of 22 after collapsing in his college apartment in the united states . peter mcavoy snr paid . tribute to his son at the family home in craigie as he tried to make . sense of his sons sudden death. the . head of education at perth and kinross council said peter went with . some friends to watch the softball team play and went back to his . apartment afterwards when he died. he was sitting on the settee and just keeled over at about teatime. his flatmate called for the campus security and they fried to resuscitate him. he was taken to hospital where they spent another hour trying to bring him back to life, but werent able to. the medics believe he had a massive heart attack. its just hard to believe, he was a fit young man. shock mr mcavoy pictured, centre, with teammates is believed to have suffered a heart attack . mr mcavoy, from dundee, . who was captain of the college soccer team, was taken to nearby little . falls hospital where he was pronounced dead. his father, who rushed back from holiday in gran canaria after he heard . the news on saturday, recalled the last time he spoke to his son. he . said i spoke him recently and he was telling me they were having a . ceremony next week because the team had won the league and the cup this . season. he told me he would be speaking at the ceremony and he was really looking forward to it. i just cant believe it. we have no heart attack history in the family, neither my side or his mothers. he had so much potential. he went to america two years ago and won the championships in both seasons. sudden mr mcavoy, from dundee, was taken to a nearby hospital where he was pronounced dead . ive been overwhelmed by the expressions of sympathy from both america and dundee. the former arbroath sc and tayport fc . defender went to the united states in 2012 where he played for new york . states herkimer generals and was americas reigning junior college . player of the year. dean of students matthew hawes said our deepest condolences are with peters family as they grieve this tragic loss. our thoughts are also with his teammates, coaches, friends, faculty and staff during this difficult time. talented the former arbroath sc defender moved to the states in 2012, where he played for new york states herkimer generals and was americas reigning junior college player of the year . craig . brown, comanager of east craigis fc, who played with peter at arbroath . sc, added he was just a gentleman, a really nice guy. nobody can get . their head around it. its . a tragedy he was an absolute legend of a guy  he would do anything for . you  and on the football pitch he was a superb player. the cause of his death is not known and a postmortem examination will be carried out, the college said. mr mcavoy was named national player of the year last year by the national soccer coaches association of america. the college is holding a candlelit vigil in his memory at its wehrum stadium this evening. the cause of peter mcavoys death has not yet been established, but his father says medics believe it was a heart attack. if that proves to be the case, it would be another incident of heart conditions hitting seemingly healthy young footballers in recent years. fabrice muamba, 25, was forced to retire from the game after collapsing on the pitch from a cardiac arrest in march 2012 at tottenhams white hart lane ground. the former england under21 midfielder was effectively dead for 78 minutes when his heart stopped beating during an fa cup match for bolton at tottenham. victims of heart disease former premier league footballer fabrice muamba left collapsed  but survived  and exbirmingham city player christian benitez right died after suffering cardiac arrests at a young age . just a month later an italian footballer collapsed on the pitch and died from a heart attack in front of horrified teammates and supporters. former under21 international piermario morosini, 25, who played for livorno, was seen to tremble before falling to his knees and never regained consciousness. in july last year, former birmingham city striker christian benitez died from respiratory failure after a cardiac arrest at the age of 27. the ecuador internationals death came just a few weeks after his 10million switch to qatari side el jaish from mexican team club america. there are a number of congenital heart defects that can hit sportsmen. the one which most commonly kills young athletes is hypertrophic cardiomyopathy. a genetic defect, it causes part of the heart muscle to thicken in about one in 500 people. it is most serious in the young and is exacerbated by exercise. in some countries, such as italy, screening for this condition is mandatory for footballers and sufferers are not allowed to play. but in britain it is up to individual clubs. other, less common possible causes of sudden cardiac arrest include arvd, another disorder of the heart muscle which causes part of it to turn to fat faults with the hearts electrical impulses irregular rhythms or defective heart valves.",peter mcavoy was captain of herkimer college football team in new york . he was americas reigning junior college player of the year . his father he was sitting on settee and keeled over. its hard to believe pronounced dead despite attempts by campus officers to revive him .,69,1073,4649,0.06430568499534017,4.332712022367195,107,418,1073,50,69,4,4649,226,"peter mcavoy, 22, a student at herkimer college in new york state, died on saturday evening. he was pronounced dead in hospital despite attempts by campus safety officers and medics to revive him. his father said he just keeled over without warning while sitting on his settee."
